,0,1,2,3,4,5,6,7
257,JK Bank,28.70,-0.35,357592,0.00,0.00,0.00,0.00
258,JK Lakshmi Cem,549.00,2.31,63150,0.00,0.00,0.00,0.00
259,JK Paper,150.30,-1.28,84273,0.00,0.00,0.00,0.00
260,JK Tyre & Ind,130.35,2.72,172300,0.00,0.00,0.00,0.00
261,JM Financial,88.40,0.51,43480,0.00,0.00,0.00,0.00
262,Johnson Control,2254.50,0.28,2676,0.00,0.00,0.00,0.00
263,JSW Energy,117.60,1.07,359234,0.00,0.00,0.00,0.00
264,JSW Steel,710.55,3.02,533341,0.00,0.00,0.00,0.00
265,JTEKT India,104.35,-4.49,63780,0.00,0.00,0.00,0.00
266,Jubilant Food,3110.65,-0.37,27396,0.00,0.00,0.00,0.00
267,Just Dial,943.85,2.64,262365,0.00,0.00,0.00,0.00
268,Jyothy Labs,154.50,-2.43,151883,0.00,0.00,0.00,0.00
269,Kajaria Ceramic,965.60,1.09,12720,0.00,0.00,0.00,0.00
270,Kalpataru Power,425.00,0.32,15556,0.00,0.00,0.00,0.00
271,Kansai Nerolac,572.20,0.55,9155,0.00,0.00,0.00,0.00
272,Karnataka Bank,64.05,-0.16,154798,0.00,0.00,0.00,0.00
273,Kaveri Seed,720.00,-3.99,49173,0.00,0.00,0.00,0.00
274,KEC Intl,410.30,-1.08,21559,0.00,0.00,0.00,0.00
275,KEI Industries,610.60,-2.08,48791,0.00,0.00,0.00,0.00
276,KNR Construct,219.75,1.22,55972,0.00,0.00,0.00,0.00
277,Kotak Mahindra,1807.80,0.43,107472,0.00,0.00,0.00,0.00
278,KPIT Tech,243.40,0.06,96986,0.00,0.00,0.00,0.00
279,KPR Mill,1587.55,-0.50,4424,0.00,0.00,0.00,0.00
280,KRBL,210.25,-1.98,69224,0.00,0.00,0.00,0.00
281,KSB Pumps,975.80,-2.76,4710,0.00,0.00,0.00,0.00
282,L&T Finance,93.70,0.16,1178089,0.00,0.00,0.00,0.00
283,L&T Infotech,3948.20,0.46,6907,0.00,0.00,0.00,0.00
284,L&T Technology,2709.00,0.23,5832,0.00,0.00,0.00,0.00
285,La Opala RG,270.95,1.63,15491,0.00,0.00,0.00,0.00
