,0,1,2,3,4,5,6,7
320,Jindal Stainles,92.40,1.15,121313,92.40,92.40,3.00,1000.00
321,Jindal Worldwid,51.30,-1.25,63933,50.00,51.30,50.00,200.00
322,JISL,13.73,-1.22,19761,13.73,14.16,27.00,1.00
323,JK Bank,28.80,-0.86,324992,28.75,28.80,30.00,1404.00
324,JK Lakshmi Cem,536.60,-2.43,70922,534.00,536.60,78.00,8.00
325,JK Paper,152.30,-0.68,44146,152.30,152.30,75.00,25.00
326,JK Tyre & Ind,126.90,-1.13,84461,126.90,126.90,10.00,29.00
327,JM Financial,87.95,0.40,430715,87.95,88.30,300.00,883.00
328,JMC Projects,110.55,-1.07,21466,110.55,110.55,20.00,10.00
329,Johnson Control,2252.20,-0.95,813,2238.10,2274.00,1.00,3.00
330,JSW Holdings,4593.70,3.33,198,4452.00,4649.00,1.00,8.00
331,JTEKT India,109.25,-4.88,118900,108.50,108.80,296.00,6.00
332,Just Dial,919.60,6.49,638107,913.50,919.60,68.00,5101.00
333,Jyothy Labs,158.35,0.67,126783,157.00,158.35,315.00,869.00
334,Kajaria Ceramic,955.15,-0.40,5115,950.00,956.00,62.00,50.00
335,Kalpataru Power,423.65,-0.96,25892,422.60,423.65,15.00,10.00
336,Kalyani Steels,374.60,-1.02,12793,371.20,376.50,2.00,25.00
337,Karda Construct,176.10,-0.17,19815,176.10,178.80,9.00,50.00
338,Karnataka Bank,64.15,-2.66,245024,64.15,64.40,300.00,990.00
339,Kaveri Seed,749.95,-0.40,32593,745.55,749.95,8.00,10.00
340,Kaya,312.10,-1.17,25402,312.00,313.70,248.00,10.00
341,KEC Intl,414.80,-3.58,16372,414.00,414.80,47.00,2.00
342,KEI Industries,623.55,-0.18,44875,623.55,625.00,2.00,60.00
343,Kennametal,1184.05,0.24,2274,1195.30,1199.90,1.00,10.00
344,Kesoram,82.85,-3.10,189051,82.50,82.85,4207.00,2.00
345,Khadim India,160.00,-3.21,4969,160.00,160.00,48.00,2.00
346,Kiri Industries,471.15,1.45,46960,471.15,478.00,400.00,10.00
347,Kirloskar Oil,222.60,-2.67,48460,222.00,222.60,1.00,10.00
348,Kitex Garments,114.00,-1.51,28966,113.65,114.00,448.00,72.00
349,KNR Construct,217.10,-1.96,31873,217.60,219.05,29.00,1.00
350,Kokuyo Camlin,61.05,0.58,32253,61.05,61.50,25.00,1.00
351,Kolte-Patil,230.30,-0.75,8259,230.30,230.30,99.00,1.00
352,KPIT Tech,243.25,2.01,157929,241.50,243.00,10.00,74.00
353,KPR Mill,1595.45,-0.60,6008,1578.50,1610.00,3.00,2.00
354,KRBL,214.50,-2.17,106536,216.00,216.20,33.00,131.00
355,KSB Pumps,1003.50,0.65,3253,1003.50,1019.00,1.00,40.00
356,L&T Technology,2702.80,-0.45,5579,2700.00,2720.00,5.00,5.00
357,La Opala RG,266.60,0.91,22043,264.30,268.45,1.00,225.00
358,Lakshmi Machine,6499.55,-0.45,800,6480.00,6575.00,7.00,20.00
359,Laurus Labs,521.75,0.30,71634,520.20,521.75,31.00,120.00
360,Lemon Tree Hote,41.60,-1.65,134384,41.70,41.90,1985.00,251.00
361,LG Balakrishnan,313.15,-1.85,11102,313.50,320.00,18.00,25.00
362,Liberty Shoes,145.50,2.75,32557,145.60,147.00,14.00,6.00
363,Likhitha,394.90,-3.25,8016,394.90,397.00,800.00,382.00
364,Lincoln Pharma,280.65,-2.25,49766,280.65,284.90,75.00,950.00
