,0,1,2,3,4,5,6,7
287,KSB Pumps,1020.60,0.23,3777,1015.35,1016.70,1.00,12.00
288,L&T Finance,94.30,1.07,1373348,94.40,94.45,15669.00,4269.00
289,L&T Infotech,3859.00,0.59,17317,3859.00,3860.00,512.00,2.00
290,L&T Technology,2725.00,0.86,29442,2722.30,2724.90,14.00,24.00
291,La Opala RG,280.35,-0.51,23469,280.60,280.80,1.00,2.00
292,Lakshmi Machine,6643.40,1.04,209,6626.80,6637.45,6.00,9.00
293,Larsen,1533.00,1.30,659606,1530.10,1530.50,3.00,97.00
294,Laurus Labs,539.70,0.24,183846,538.65,539.00,13.00,945.00
295,Lemon Tree Hote,43.60,1.28,335695,43.40,43.45,9455.00,2573.00
296,LIC Housing Fin,517.05,3.65,2416692,517.60,517.85,321.00,128.00
297,Linde India,1624.65,1.03,6102,1624.00,1624.90,2.00,2.00
298,Lupin,1228.55,-0.20,397043,1229.20,1229.90,81.00,14.00
299,Lux Industries,3296.70,1.55,16137,3300.05,3300.95,2.00,5.00
300,M&M,811.30,1.20,956643,811.25,811.70,26.00,85.00
301,M&M Financial,164.75,1.23,639993,164.75,164.90,711.00,4602.00
302,Mah Scooters,3812.95,0.30,146,3804.65,3810.00,13.00,3.00
303,Mah Seamless,289.50,0.17,9698,289.30,289.80,10.00,1.00
304,Mahanagar Gas,1185.20,-0.11,15635,1185.50,1186.00,25.00,21.00
305,Mahindra CIE,216.20,3.67,161731,216.30,216.50,1000.00,112.00
306,Mahindra Holida,259.80,0.74,24935,259.40,259.75,21.00,179.00
307,Mahindra Logist,549.25,1.00,3148,549.75,550.90,30.00,21.00
308,Manappuram Fin,163.50,-0.61,806598,163.40,163.50,1091.00,242.00
309,Marico,491.55,-0.97,296647,491.65,491.70,27.00,493.00
310,Maruti Suzuki,7210.00,0.03,77581,7211.05,7211.50,1.00,9.00
311,MAS Financial S,920.00,0.77,460,918.80,920.00,4.00,50.00
312,Max Financial,974.80,1.72,215858,975.05,975.50,661.00,368.00
313,MCX India,1557.10,-0.18,4377,1555.45,1556.90,10.00,9.00
314,Metropolis,2623.55,6.84,99357,2620.65,2622.40,42.00,18.00
315,Minda Corp,136.25,-0.26,223193,135.65,135.80,263.00,326.00
316,Minda Ind,592.80,1.04,12206,595.95,596.40,25.00,5.00
317,Mindtree,2402.80,1.23,113749,2400.10,2401.50,34.00,30.00
318,Mishra Dhatu Ni,194.95,0.44,21214,194.80,194.95,870.00,35.00
319,MMTC Ltd,57.60,0.09,394863,57.50,57.55,4359.00,867.00
320,MOIL,185.50,1.26,247497,185.25,185.40,1308.00,100.00
321,Motherson Sumi,248.80,-0.64,6260895,248.85,248.95,72.00,3780.00
322,Motilal Oswal,792.05,-0.13,24423,792.40,793.00,7.00,85.00
323,MphasiS,1937.75,0.90,37234,1935.25,1936.95,45.00,99.00
324,MRF,85240.00,0.89,2007,85155.05,85222.40,3.00,1.00
325,MRPL,51.60,0.68,217963,51.60,51.65,9729.00,526.00
326,Muthoot Finance,1522.35,0.78,627924,1523.30,1523.45,26.00,424.00
327,NALCO,72.70,-0.48,1796241,72.65,72.70,14406.00,842.00
328,Narayana Hruda,503.25,2.96,217412,502.05,503.00,10.00,96.00
329,Natco Pharma,1046.05,0.09,16405,1045.95,1046.00,100.00,27.00
330,Nava Bharat Ven,89.45,-0.17,59694,89.40,89.50,211.00,145.00
331,Navin Fluorine,3182.95,0.55,13246,3185.00,3186.55,10.00,19.00
332,NBCC (India),48.00,-0.10,628948,47.85,47.95,7067.00,8333.00
333,NCC,82.20,0.74,282723,82.15,82.20,391.00,7540.00
334,NESCO,553.70,0.90,4125,553.90,554.60,8.00,11.00
335,Nestle,17639.45,-0.89,6340,17639.45,17645.95,1.00,9.00
336,New India Assur,171.50,1.06,120417,171.15,171.40,18.00,24.00
337,NFL,68.60,0.66,105923,68.50,68.60,3578.00,1779.00
338,NHPC,26.00,0.39,157447,26.00,26.05,22874.00,26219.00
339,Nilkamal,2360.05,-4.98,53167,2363.05,2363.95,1.00,12.00
340,Nippon,368.30,0.14,92823,368.50,368.65,68.00,286.00
341,NLC India,61.25,0.82,179627,61.15,61.25,6247.00,8117.00
342,NMDC,185.05,-0.38,751331,184.90,184.95,1605.00,59.00
343,NTPC,112.25,0.49,1092837,112.30,112.35,325.00,6534.00
344,Oberoi Realty,674.90,2.10,427472,675.00,675.30,20.00,2.00
345,Oil India,140.85,0.93,234537,140.85,141.00,216.00,160.00
346,Omaxe,83.65,0.36,1371,83.65,83.70,46.00,636.00
347,ONGC,125.15,2.29,15308172,125.25,125.30,2547.00,131040.00
348,Oracle Fin Serv,3546.25,0.38,3989,3546.25,3548.75,1.00,2.00
349,Orient Cement,137.65,0.18,24362,137.40,137.50,340.00,296.00
350,Orient Electric,301.65,0.33,14881,301.65,302.10,51.00,11.00
351,Orient Refract,313.20,0.90,2332,313.00,313.30,106.00,101.00
352,P and G,13174.50,2.92,7499,13156.75,13173.15,1.00,1.00
353,Page Industries,30404.00,-0.13,2255,30401.55,30430.30,2.00,3.00
354,Persistent,2433.95,0.88,14101,2433.00,2434.00,20.00,47.00
355,Petronet LNG,246.80,-0.02,347620,246.80,247.00,486.00,2704.00
356,Pfizer,5192.25,-0.09,3161,5191.75,5193.75,1014.00,10.00
357,Phillips Carbon,226.70,0.35,112217,226.65,226.95,196.00,33.00
358,Phoenix Mills,868.45,0.74,54300,867.40,868.30,49.00,32.00
359,PI Industries,2667.70,-0.33,4742,2667.50,2667.60,25.00,12.00
360,Pidilite Ind,2086.00,0.27,30633,2084.70,2086.00,50.00,61.00
361,Piramal Enter,1858.90,0.92,60442,1858.05,1858.90,20.00,116.00
362,PNB,43.35,-0.69,26474835,43.35,43.40,394729.00,21463.00
363,PNB Housing Fin,839.45,10.00,782352,839.45,0.00,81334.00,0.00
364,PNC Infratech,263.45,1.62,227265,263.10,263.30,30.00,100.00
